Date,Day_of_the_week,App,Minutes,Category
08/24/23,Thursday,TIKTOK,78,Social Media
08/24/23,Thursday,INSTAGRAM,76,Social Media
08/24/23,Thursday,NETFLIX,62,Entertainment
08/24/23,Thursday,SAFARI,39,Other
08/24/23,Thursday,MESSAGES,28,Social Media
08/24/23,Thursday,CALCULATOR,19,Other
08/25/23,Friday,TIKTOK,152,Social Media
08/25/23,Friday,MAX,37,Entertainment
08/25/23,Friday,NETFLIX,27,Entertainment
08/25/23,Friday,INSTAGRAM,21,Social Media
08/25/23,Friday,MESSAGES,19,Social Media
08/25/23,Friday,FACEBOOK,17,Social Media
08/25/23,Friday,TARGET,14,Other
08/26/23,Saturday,SHEIN,197,Other
08/26/23,Saturday,TIKTOK,130,Social Media
02/26/23,Saturday,SAFARI,24,Other
08/26/23,Saturday,INSTAGRAM,22,Social Media
08/26/23,Saturday,BEREAL,8,Social Media
08/26/23,Saturday,MESSAGES,8,Social Media
08/26/23,Saturday,TARGET,7,Other
08/27/23,Sunday,TIKTOK,226,Social Media
08/27/23,Sunday,SHEIN,61,Other
08/27/23,Sunday,SAFARI,26,Other
08/27/23,Sunday,INSTAGRAM,13,Social Media
08/27/23,Sunday,THE NEW YORK TIMES,12,Other
08/27/23,Sunday,MESSAGES,10,Social Media
08/27/23,Sunday,BEREAL,7,Social Media
08/28/23,Monday,TIKTOK,129,Social Media
08/28/23,Monday,MAX,53,Entertainment
08/28/23,Monday,MESSAGES,19,Social Media
08/28/23,Monday,INSTAGRAM,16,Social Media
08/28/23,Monday,SAFARI,14,Other
08/29/23,Tuesday,TIKTOK,187,Social Media
08/29/23,Tuesday,MESSAGES,61,Social Media
08/29/23,Tuesday,MAX,35,Entertainment
08/29/23,Tuesday,INSTAGRAM,26,Social Media
08/29/23,Tuesday,SAFARI,25,Other
08/29/23,Tuesday,YAHOO MAIL,24,Other
08/30/23,Wednesday,TIKTOK,183,Social Media
08/30/23,Wednesday,MESSAGES,62,Social Media
08/30/23,Wednesday,INSTAGRAM,25,Social Media
08/30/23,Wednesday,MAX,19,Entertainment
08/30/23,Wednesday,SAFARI,13,Other
08/30/23,Wednesday,FACEBOOK,12,Social Media
08/30/23,Wednesday,CANVAS STUDENT,11,Education